PHA Code,PHA Name,Faircloth Limit
TX087, San Marcos Housing Authority,289
AL166, Housing Authority of the City of Chickasaw,288
GA247, Housing Authority of the City of Thomaston,288
IL084, Fulton County Housing Authority,288
TX105, Crystal City Housing Authority,288
MI041, Big Rapids Housing Commission,287
PA061, HOUSING AUTHORITY OF THE COUNTY OF JEFFERSON,287
SC019, HOUSING AUTHORITY OF UNION,287
GA064, Housing Authority of the City of Bainbridge,285
OR022, Housing Authority of Washington County,285
CT015, Housing Authority of the City of Ansonia,283
IL076, Housing Authority of the County of McDonough,283
MA047, Falmouth Housing Authority,283
NC073, Oxford Housing Authority,282
NM009, Santa Fe Civic Housing Authority,282
NY082, Peekskill Housing Authority,282
OK123, Housing Authority of Osage County,282
IL089, Housing Authority Of The County Of DeKalb,280
IN016, Housing Authority of the City of Evansville,280
LA095, Housing Authority of St. John the Baptist Parish,280
MO012, Housing Authority of the City of Charleston,280
PA041, The Housing Auth of the County of Mifflin,280
TX222, Housing Authority of Crockett,280
WA021, HA City of Pasco and Franklin County,280
SC037, HOUSING AUTHORITY OF ANDERSON,279
NJ032, Rahway Housing Authority,277
OH028, ERIE METROPOLITAN HOUSING AUTHORITY,277
FL070, Alachua County,276
IL091, Warren County Housing Authority,276
LA080, Housing Authority of Lafourche Parish,276
NJ050, East Orange Housing Authority,276
AL056, Haleyville Housing Authority,275
KY017, Housing Authority of Maysville,275
MN007," HRA of VIRGINIA, MINNESOTA",275
MO188," Housing Authority of the City of Joplin, MO",275
OK024, Housing Authority of the City of Ada,275
OR011, Housing Authority of the City of Salem,275
KY027, Housing Authority of Paintsville,274
MT001, Housing Authority of Billings,274
NH003, Dover Housing Authority,274
NM006, Housing Authority of the City of Gallup,274
OH019, Ironton Metropolitan Housing Authority,274
OK062, Housing Authority of the City of McAlester,274
SC017, HOUSING AUTHORITY OF GAFFNEY,274
FL046, Crestview Housing Authority,273
KY024, Housing Authority of Hazard,273
MO037, Housing Authority of the City of West Plains,273
WI037, Stevens Point Housing Authority,272
AR028, Housing Authority of the City of Newport,270
TN024, Tullahoma Housing Authority,270
TN027, Humboldt Housing Authority,270
TN057, Ripley Housing Authority,270
TN125, Franklin County Housing Authority,270
TX046, Mission Housing Authority,270
WA004, Peninsula Housing Authority,270
CA053, KINGS COUNTY HOUSING AUTH,268
NJ016, Harrison Housing Authority,268
TX014, Housing Authority of Texarkana,268
GA232, Housing Authority of the City of College Park,267
IL029, Housing Authority of the City of Freeport,267
NH005, Concord Housing Authority,266
WI142, Waukesha Housing Authority,266
AZ006, Flagstaff Housing Authority,265
IL032, Whiteside County Housing Authority,265
KY021, Housing Authority of Cynthiana,265
MA013, Waltham Housing Authority,265
NY060, Amsterdam Housing Authority,265
MI036, Sault Ste Marie Housing Commission,264
OH044, Allen Metropolitan Housing Authority,264
TN041, Covington Housing Authority,264
NC117, Roanoke Rapids Housing Authority,263
KS063, Manhattan Housing Authority,262
LA074, Housing Authority of Sabine Parish,262
NJ204, Gloucester County Housing Authority,262
AL169, The Housing Authority of the City of Prichard,261
FL056, MELBOURNE HOUSING AUTHORITY,261
GA131, Housing Authority of the City of Swainsboro,261
ND017, Minot Housing Authority,261
CA069, Housing Authority of the City of Madera,260
GA104, Housing Authority of the City of Sylvester,260
NC005, Housing Authority of the City of New Bern,260
NC071, Thomasville Housing Authority,260
SC025, HOUSING AUTHORITY OF CONWAY,260
TX163, Robstown Housing Authority,260
WI038, Fond du Lac Housing Authority,260
WV011, Housing Authority of the City of Moundsville,260
IN034, Sullivan Housing Authority,259
NJ058, Salem Housing Authority,258
TX048, Housing Authority of Paris,258
MI070, Marquette Housing Commission,257
MO129, Housing Authority of the City of Hannibal,257
FL025, HOUSING AUTHORITY OF THE CITY OF TITUSVILLE,255
GA024, Housing Authority of the City of Thomasville,254
IL006, Housing Authority of Champaign County,254
IL086, Bureau County Housing Authority,254
IL094, Livingston County Housing Authority,254
WA039, Housing Authority of Snohomish County,253
LA023, Housing Authority of the City of Alexandria,252
LA092, Housing Authority of St. James Parish,252
MO010, Housing Authority of the City of Mexico,252
NJ036, Guttenberg Housing Authority,252
RI018, Lincoln Housing Authority,252
NE100, Fremont Housing Authority,251
AR027, Housing Authority of the City of Marianna,250
AR060, Housing Authority of the City of West Helena,250
CT010, Willimantic Housing Authority,250
GA119, Housing Authority of the City of Calhoun,250
IL031, DeWitt County Housing Authority,250
IN025, Housing Authority of the City of Charlestown,250
MI059, St Clair Shores Housing Commission,250
MO011, Housing Authority of the City of Moberly,250
NC049, Morganton Housing Authority,250
NC064, Kings Mountain Housing Authority,250
NC070, Lincolnton Housing Authority,250
NE125, North Platte Housing Authority,250
NY069, Glen Cove Public Housing Authority,250
RI015, West Warwick Housing Authority,250
UT007, Housing Authority of the City of Provo,250
WV008, Housing Authority of the City of Williamson,248
LA037, Housing Authority of the City of Minden,247
NY017, Jamestown Housing Authority,246
CO016, Boulder Housing Partners,245
NY049, The City of Beacon Housing Authority,245
TN063, Sevierville Housing Authority,245
MS047, The Housing Authority of the City of Starkville,244
TN011, Pulaski Housing Authority,244
KY031, Housing Authority of Williamsburg,243
NC114, Pembroke Housing Authority,243
OH042, GEAUGA METROPOLITAN HOUSING AUTHORITY,243
TX178, Alice Housing Authority,243
KY003, Housing Authority of Frankfort,242
AL059, Housing Authority of the City of Tuscumbia,241
NY031, Massena Housing Authority,241
FL071, LAKE WALES HOUSING AUTHORITY,240
IN019, Housing Authority of the City of Michigan City,240
WI047, Sheboygan Housing Authority,240
VA030, Marion Redevelopment & Housing Authority,238
PA079, HOUSING AUTHORITY OF THE COUNTY OF WARREN,237
NY063, Dunkirk Housing Authority,236
TX021, Housing Authority of the City of Brownwood,236
MA028, Framingham Housing Authority,235
PA075, Housing Authority of the County of Cumberland,235
CA072, SANTA CRUZ COUNTY HSG AUTH,234
IL071, Pike County Housing Authority,234
IL088," Housing Authority Of The County of Wayne, Illinois",234
NM004, Housing Authority of the City of Alamogordo,234
IL041, Massac County Housing Authority,233
AR166, Stuttgart Housing Authority,232
NH008, Housing Authority of the City of Rochester NH,232
NC053, Hamlet Housing Authority,230
SC031, HOUSING AUTHORITY OF CHERAW,230
TX051, Weslaco Housing Authority,230
FL139, WINTER HAVEN HOUSING AUTHORITY,229
NH010, Keene Housing,228
AZ023, Nogales Housing Authority,226
CT022, New London Housing Authority,226
OK044, Housing Authority of the City of Hugo,226
CT028, Vernon Housing Authority,225
KY020, Housing Authority of Mount Sterling,225
LA030, Housing Authority of Ville Platte,225
NC025, Rockingham Housing Authority,225
OK027," Housing Authority of the City of Miami,Oklaho",225
MN017, MOORHEAD PUBLIC HOUSING AGENCY,224
MO016, Marshall Housing Authority,224
OH036, WAYNE METROPOLITAN HOUSING AUTHORITY,224
TX240, Housing Authority of Vernon,224
GA065, Housing Authority of the City of West Point,223
KY032, Housing Authority of Morehead,223
NM050, Housing Authority of the County of Santa Fe,223
SC030, HOUSING AUTHORITY OF GREENWOOD,223
KY040, Housing Authority of Mayfield,222
GA070, Housing Authority of the City of Fitzgerald,221
IL052, Randolph County Housing Authority,221
PA029, SOMERSET COUNTY HOUSING AUTHORITY,221
TX016, Del Rio Housing Authority,221
MI014, Albion Housing Commission,220
NJ011, Housing Authority of the Borough of Lodi,220
RI019, Bristol Housing Authority,220
TN032, Lewisburg Housing Authority,220
TX114, Kingsville Housing Authority,220
VA021, Wytheville Redev. & Housing Authority,220
GA080, Housing Authority of the City of Eastman,219
IN041," Housing Authority of the City of Marion, IN",219
MI078, Manistee Housing Commission,218
VA015, Norton Redevelopment & Housing Authority,218
WA014, HA Of Grant County,218
GA085, Housing Authority of the City of Quitman,217
IL035, Lee County Housing Authority,215
KY008, Housing Authority of Somerset,215
LA063, Housing Authority of the City of Sulphur,214
NY034, Rome Housing Authority,214
AL128, HA SAMSON,213
TX327, Housing Authority of the City of Abilene,213
IL036," Housing Authority of the County of Vermilion, Ill.",212
MS093, Oxford Housing Authority,212
NC069, North Wilkesboro Housing Authority,212
AL110, HA PIEDMONT,211
KY043, Housing Authority of Fulton,211
MI105, Highland Park Housing Commission,211
WI065, City of Appleton Housing Authority,211
AL190," Housing Authority of Greene County, AL",210
GA098, Housing Authority of the City of Pelham,210
KY022, Housing Authority of Lebanon,210
MT033, Missoula Housing Authority,210
NC060, Roxboro Housing Authority,210
TN025, Trenton Housing Authority,210
VT003, Rutland Housing Authority,210
WI011, Marshfield Community Development Authority,210
WV015, Housing Authority of the City of Beckley,210
AL060, HA RUSSELLVILLE,209
CO049, Lakewood Housing Authority,209
IA030, Keokuk Housing Authority,209
OH049, WARREN METROPOLITAN HOUSING AUTHORITY,209
PA071, Housing Authority of the County of Berks,209
CA033, Housing Authority of the County of Monterey,208
GA061, Housing Authority of the City of Griffin,208
FL104, Pasco County Housing Authority,207
AR026, Housing Authority of the City of Morrilton,206
KY030, Housing Authority of Murray,206
NC065, Monroe Housing Authority,206
KY013, Housing Authority of Paris,205
NC040, Smithfield Housing Authority,205
OH038, CLERMONT METROPOLITAN HOUSING AUTHORITY,205
WV012, Housing Authority of the City of Grafton,205
CA048, Regional Housing Authority,204
GA166, Housing Authority of the City of Claxton,204
NM088, Northern Regional Housing Authority,204
TN043, Rogersville Housing Authority,204
TX036, Housing Authority of Borger,204
WI074, Green Bay Housing Authority,204
MI115, Wyoming Housing Commission,203
MN032," HRA IN AND FOR THE CITY OF BRAINERD, MINNESOTA",203
PA055, Shamokin Housing Authority,202
TN037, South Pittsburg Housing Authority,202
TX034, Housing Authority of Port Arthur,202
WI139, Shawano County Housing Authority,202
AR029, Housing Authority of the City of Van Buren,201
CO052, Aurora Housing Authority,201
IA015, Low Rent Housing Agency of Burlington,201
KY071, Housing Authority of Bardstown,201
NJ066, Housing Authority City of Linden,201
AR068, Hope Housing Authority,200
AR097, Housing Authority of the City of Fayetteville,200
FL017, HOUSING AUTHORITY OF THE CITY OF MIAMI BEACH,200
FL034, PLANT CITY HOUSING AUTHORITY,200
FL072, DeLand Housing Authority,200
FL083, DELRAY BEACH HOUSING AUTHORITY,200
GA128, Housing Authority of the City of Thomson,200
IL100, Housing Authority County of Coles,200
IL120, Housing Authority of Edgar County,200
KY039, Housing Authority of Pineville,200
LA013, Housing Authority of Jefferson Parish,200
LA027, Housing Authority of New Iberia,200
LA028, Housing Authority of Rayne,200
MO014, Housing Authority of the City of Fulton,200
MO133, Nevada Housing Authority,200
MS078, The Housing Authority of the City of Water Valley,200
NC075, City of Albemarle Department of Public Housing,200
NC081, Asheboro Housing Authority,200
NE002, Lincoln Housing Authority,200
NY400, Kenmore Municipal Housing Authority,200
OK004, Housing Authority of the City of Idabel,200
PA025, CONNELLSVILLE HOUSING AUTHORITY,200
PA060, Housing Auth of the County of Northumberland,200
TX026, Housing Authority of Denison,200
TX054, New Boston Property Management,200
UT002, Housing Authority of the City of Ogden,200
CA025, City of Eureka Housing Authority,199
CO004, Housing Authority of the City of Alamosa,199
CT040, Housing Authority of the Town of Glastonbury,199
IN018, Housing Authority of the City of Tell City,199
NY052, Batavia Housing Authority,199
TN019, Jefferson City Housing Authority,199
CO005, Trinidad Housing Authority,198
IL103, Housing Authority of the Village of Oak Park,198
MI066, Muskegon Housing Commission,198
VA024, Wise County Redevelopment & Housing Authority,198
AR104, Springdale Housing Authority,197
KS040, Fort Scott Housing Authority,197
AR059, Housing Authority of the City of Brinkley,196
ID001, Twin Falls Housing Authority,196
IL044, Housing Authority of the City of Pekin,196
TN008, Paris Housing Authority,196
MI022, Alpena Housing Commission,195
MI024, Bay City Housing Commission,195
MO074," Housing Authority of the City of Sedalia, MO",195
ND001, Housing Authority of Cass County,195
PA087, HOUSING AUTHORITY OF THE COUNTY OF ERIE,195
RI016, Coventry Housing Authority,195
WI068, Wisconsin Rapids Housing Authority,195
MA014, Revere Housing Authority,194
ME008, Waterville Housing Authority,194
NC102, Rowan County Housing Authority,194
SC033, HOUSING AUTHORITY OF MULLINS,194
TX152, Beeville Housing Authority,194
IL040, Logan County Housing Authority,193
NC017, Redevelopment Commission of the Town of Tarboro,193
AR131, Jonesboro Urban Renewal HA,192
ME006, Brunswick Housing Authority,192
TX001, Austin Housing Authority,192
TX024, Housing Authority of Commerce,192
AL114, LINEVILLE HOUSING AUTHORITY,191
IL065, Clay County Housing Authority,191
KS017, Atchison Housing Authority,191
LA061, Housing Authority of the Town of Jonesboro,191
ME007, Auburn Housing Authority,191
AL122, Childersburg Housing Authority,190
IN030, Washington Housing Authority,190
NC078, Plymouth Housing Authority,190
PA063, HOUSING AUTHORITY OF THE CITY OF DUBOIS,190
WA012, HA City of Kennewick,190
IN031, Housing Authority City of Bedford,188
IN039, Housing Authority of the City of Angola,188
NC028, Benson Housing Authority,188
OK111, Housing Authority of the City of Ponca City,188
TX303, Seguin Housing Authority,188
VA022, Waynesboro Redevelopment & Housing Authority,188
PA048, HOUSING AUTHORITY OF INDIANA COUNTY,187
AL087, Housing Authority of the City of Hartselle,186
GA091, Housing Authority of the City of Buford,186
KY007, Housing Authority of Madisonville,186
SC016, HOUSING AUTHORITY OF GREER,186
GA090, Housing Authority of the City of Royston,185
ME004, Presque Isle Housing Authority,185
FL060, PUNTA GORDA HOUSING AUTHORITY,184
TN035, Franklin Housing Authority,184
AL071," Housing Authority of Guin, Alabama",183
NC036, Selma Housing Authority,183
AR066, Russellville Housing Authority,182
AR117, Polk County Housing Authority,182
TN068, Smithville Housing Authority,182
TX061, Housing Authority of Sweetwater,182
WV014, Housing Authority of Benwood and McMechen,182
KY077, Housing Authority of Harlan,181
MN063, MANKATO EDA,181
OH033, Cambridge Metropolitan Housing Authority,181
TX041, Housing Authority of Olney,181
AL063, H A ONEONTA,180
AL109," Housing Authority of the City of Demopolis, AL",180
AR018, Housing Authority of the City of Magnolia,180
CA076, Housing Authority of the City of Santa Barbara,180
GA081, Housing Authority of the City of Hartwell,180
KY041, Housing Authority of Morgantown,180
KY057, Housing Authority of Carrollton,180
MI076, Niles Housing Commission,180
MO003, St. Joseph Housing Authority,180
PA065, CLEARFIELD COUNTY HOUSING AUTHORITY,180
TX251, Housing Authority of Brady,180
MN077," HRA IN AND FOR THE CITY OF ALBERT LEA, MINNESOTA",179
OH032, Hocking Metropolitan Housing Authority,179
AL150, Housing Authority of the City of Clanton,178
LA129, Housing Authority of Rapides Parish,178
NM008, Housing Authority of the City of Raton,178
CT018, Norwich Housing Authority,177
MD014, Wicomico County Housing Authority,177
MI055, Livonia Housing Commission,177
NC095, Forest City Housing Authority,176
PA054, HOUSING AUTHORITY OF THE COUNTY OF ELK,176
RI010, Cumberland Housing Authority,176
TX052, Housing Authority of Seymour,176
AL139, HA JACKSONVILLE,175
AZ010, Pinal County Housing Authority,175
KS049, Iola Housing Authority,175
MI083, Escanaba Housing Commission,175
NC050, Wadesboro Housing Authority,175
NC082, Ayden Housing Authority,175
NY019, Herkimer Housing Authority,175
NY080, Malone Housing Authority,175
OH061, Shelby Metropolitan Housing Authority,175
FL069, Fort Walton Beach Housing Authority,174
GA220, Housing Authority of the City of Reidsville,174
KY157, Housing Authority of Floyd County,174
MN168, KANDIYOHI COUNTY HRA,174
NC008, Housing Authority of the City of Concord,174
NC076, Farmville Housing Authority,174
TX470, San Angelo Housing Authority,174
AL098, Housing Authority of the City of Aliceville,173
AR051, Housing Authority of the City of Clarksville,173
OK139, Housing Authority of the City of Norman,173
AZ025, South Tucson Housing Authority,172
NC034," City of Shelby, Department of Housing",172
NE004, Kearney Housing Agency,172
OK055, Housing Authority of the City of Guthrie,172
AR082, Warren Housing Authority,171
FL082, Housing Authority of the City of Winter Park,171
IL108," Housing Authority of the County of Lawrence, IL.",171
AL112, HA OPP,170
IA126, Eastern Iowa Regional Housing Authority,170
KS038, Salina Housing Authority,170
KY023, Housing Authority of Russellville,170
MD007, Rockville Housing Enterprises,170
MO053, Excelsior Springs Housing Authority,170
MS082, The Housing Authority of the City of Winona,170
MT005, Housing Authority of the City of Anaconda,170
NC059, The Graham Housing Authority,170
NJ080, Wildwood Housing Authority,170
NY097, Canton Housing Authority,170
TX309, Cuero Housing Authority,170
TX330, Housing Authority of the City of Brenham,170
TX343, New Braunfels Housing Authority,170
AR094, Housing Authority of the City of Malvern,169
NH006, Somersworth Housing Authority,169
AL140," Housing Authority of the City of Centre, Al",168
GA087, Housing Authority of the City of Ashburn,168
IL037, Montgomery County Housing Authority,168
LA038, Housing Authority of the Town of Marksville,168
MA029, Pittsfield Housing Authority,168
MA044, Beverly Housing Authority,168
MI096, Ferndale Housing Commission,168
PA059, HOUSING AUTHORITY OF THE CITY OF OIL CITY,168
SC005, HOUSING AUTHORITY OF DARLINGTON,168
WI131, Ashland Housing Authority,168
AL137, Housing Authority of the City of Fayette,166
LA118, Housing Authority of the City of Jennings,166
NH009, Lebanon Housing Authority,166
GA168, Housing Authority of the City of Ocilla,165
OH040, Jackson County Metropolitan Housing Authority,165
TX246, Housing Authority of Marlin,165
WV018, Housing Authority of the City of Bluefield,165
AL051, Housing Authority of Red Bay,164
AL121, Albertville Housing Authority,164
AR025, Housing Authority of the County of Howard,164
GA282, SOUTHEAST GEORGIA CONSOLIDATED HOUSING AUTHOR,164
MI044, Eastpointe Housing Commission,164
NY012, Troy Housing Authority,164
MS071, The Housing Authority of the City of Aberdeen,163
NC090, Brevard Housing Authority,163
RI009, Johnston Housing Authority,163
TN013, Brownsville Housing Authority,163
AR003, The Housing Authority of the City of Fort Smi,162
IL038," Housing Authority of Christian County, Illinois",162
IN004, Delaware County Housing Authority,162
KY062, Housing Authority of Harrodsburg,162
MO079, Lebanon Housing Authority,162
NE078, Scotts Bluff County Housing Authority,162
NY045, Kingston Housing Authority,162
TN016, Sweetwater Housing Authority,162
TN044, Sparta Housing Authority,162
ID013, Boise City Housing Authority,160
KY035, Housing Authority of Prestonsburg,160
LA043, Housing Authority of the City of Donaldsonville,160
MS065, The Housing Authority of the City of Booneville,160
MS079, The Housing Authority of the City of Louisville,160
NJ043, Edison Housing Authority,160
NY015, Mechanicville Housing Authority,160
AZ013, Yuma County Housing Department,159
GA071, Housing Authority of the City of Baxley,159
GA092, Housing Authority of the City of Nashville,159
GA114, Housing Authority of the City of Blakely,159
IL093," Housing Authority Of The County Of Wabash, IL.",159
IN058, Columbus Housing Authority,159
MN144," HOUSING AUTHORITY OF ST LOUIS PARK, MINNESOTA",159
OK033, Housing Authority of the City of Bristow,159
LA067, Housing Authority of the Parish of St. Landry,158
MO020, Housing Authority of the City of Hayti,158
NC074, Lenoir Housing Authority,158
NH017, Housing Authority of the Town of Salem,158
TX264, Georgetown Housing Authority,158
UT009, Davis Community Housing Authority,158
GA148, Housing Authority of the City of Dallas,157
OH047, Gallia Metropolitan Housing Authority,157
AL187," Regional HA of Lawrence, Cullman & Morgan Counties",156
FL076, RIVIERA BEACH HOUSING AUTHORITY,156
IN050, New Castle Housing Authority,156
KY049, Housing Authority of Versailles,156
LA033, Housing Authority of Oakdale,156
LA034, Housing Authority of the City of Abbeville,156
PA058, TITUSVILLE HOUSING AUTHORITY,156
TX213, Housing Authority of Belton,156
AZ003, City of Glendale Housing Authority,155
KY010, Housing Authority of Corbin,155
OR003, Housing Authority of Douglas County,155
AL058, Winfield Housing Authority,154
AR006, Housing Authority of the City of Conway,154
FL049, North Central Florida Regional Housing Agency,154
GA217, Housing Authority of the City of Unadilla,154
IL078, Housing Authority of the County of Bond,154
ME021, Brewer Housing Authority,154
NM067, Western Regional Housing Authority,154
SC015, HOUSING AUTHORITY OF BENNETTSVILLE,154
WV007, Housing Authority of the City of Mount Hope,154
MI157, Sterling Heights Housing Commission,153
PA067, Carbon County Housing Authority,153
RI022, Warren Housing Authority,153
GA213, Housing Authority of the City of Canton,152
IA049, Muscatine Municipal Housing Agency,152
NJ035, South Amboy Housing Authority,152
NJ074, Penns Grove Housing Authority,152
RI017, North Providence Housing Authority,152
TX173, Port Isabel Housing Authority,152
MI018, Ironwood Housing Commission,151
NY008, Tuckahoe Housing Authority,151
NY013, Tarrytown Municipal Housing Authority,151
AL115, ENTERPRISE HOUSING AUTHORITY,150
AR035, Searcy Housing Authority,150
CA014, Housing Authority of the County of San Mateo,150
IL107," Housing Authority of the City of North Chicago, IL",150
KY033, Housing Authority of Catlettsburg,150
KY075, Housing Authority of Dawson Springs,150
LA025, Housing Authority of the City of Eunice,150
LA102, Housing Authority of the Town of Lake Providence,150
LA109, Housing Authority of the Town of Winnsboro,150
MD016, Elkton Housing Authority,150
MO031, Clinton Housing Authority,150
MO034, Housing Authority of the City of Dexter,150
MO149, Housing Authority of the City of Rolla,150
MS061, The Housing Authority of the City of Canton,150
NC077, Williamston Housing Authority,150
OK015, Housing Authority of the City of Elk City,150
TN022, Clinton Housing Authority,150
TX012, Housing Authority of the City of Baytown,150
TX028, McAllen Housing Authority,150
TX063, Housing Authority of the City of Hearne,150
TX134, Housing Authority of Cameron,150
TX153, Housing Authority of Haltom City,150
TX355, Housing Authority of the City of El Campo,150
WA054, HA Of Pierce County,150
GA132, Housing Authority of the City of Statesboro,149
WV035, Housing Authority of the County of Jackson,149
AR020, Little River County Housing Authority,148
IA002, Charles City Hsg and Redev Authority,148
LA073, Housing Authority of South Landry,148
OK010, Housing Authority of the City of Drumright,148
TN052, Huntingdon Housing Authority,148
TN082, McKenzie Housing Authority,148
WV005, Housing Authority of the City of Parkersburg,148
IL066, Housing Authority of the County of Hardin,147
WI045, Shawano Housing Authority,147
IL074, Housing Authority of the County of Jersey,146
NY033, Rensselaer Housing Authority,146
NY056, Village of Spring Valley Housing Authority,146
AL084," Housing Authority of the City of Vernon, AL",145
MN037," HRA of AITKIN COUNTY, MINNESOTA",145
MN041, PUBLIC HOUSING COMMISSION OF THE CITY OF MARSHALL,145
MO066, Housing Authority of the City of Chaffee,145
TN075, Newbern Housing Authority,145
TX244, Housing Authority of Mount Pleasant,145
CA084, MENDOCINO COUNTY,144
IN024, Rockport Housing Authority,144
KS016, South Hutchinson Housing Authority,144
NC079, Dunn Housing Authority,143
FL128, Lee County Housing Authority,142
GA199, Housing Authority of the City of Sandersville,142
ID002, Nampa Housing Authority,142
MI087, Menominee Housing Commission,142
WV017, Housing Authority of the City of Pt. Pleasant,142
AL088," Housing Authority of the City of Luverne, AL",141
KY028, Housing Authority of Barbourville,141
MD019, Housing Commission of Talbot,141
OH046, ADAMS METROPOLITAN HOUSING AUTHORITY,141
KY029, Housing Authority of Cumberland,140
LA112, Housing Authority of the Town of Mansfield,140
ME023, Bar Harbor Housing Authority,140
MI025, Belding Housing Commission,140
OK006, Housing Authority of the City of Broken Bow,140
SC032, Housing Authority of Lancaster,140
TX071, Housing Authority of Gilmer,140
TX081, Gonzales Housing Authority,140
WA017, HA Of Asotin County,140
WA035," Housing Authority of Sunnyside, Washington",140
KS062, Chanute Housing Authority,139
IA131, Central Iowa Regional Housing Authority,138
MI080, Traverse City Housing Commission,138
TN061, Lenoir City Housing Authority,138
LA012, Housing Authority of the City of Kenner,137
CT047, Naugatuck Housing Authority,136
IA107, Fort Dodge Municipal Housing Agency,136
IN006, Housing Authority of the City of Anderson,136
KS073, Newton Housing Authority,136
MA065, Needham Housing Authority,136
MA101, Wayland Housing Authority,136
MN034," HRA of WORTHINGTON, MINNESOTA",136
MO060, Housing Authority of the City of Mountain Grove,136
TN026, Etowah Housing Authority,136
WA036, Kitsap County Consolidated Housing Auth,136
WV009, Fairmont/Morgantown Housing Authority,136
NY051, Housing Authority of Newburgh,135
NY061, Hudson Housing Authority,135
OK146, Housing Authority of the City of Stillwater,135
GA137, Housing Authority of the City of Hazlehurst,134
IA047, Fort Madison Housing Authority,134
IL045, Housing Authority of Pulaski County,134
KY065, Housing Authority of London,134
LA093, Housing Authority of the Town of White Castle,134
WA011, HA City of Renton,134
FL030, Housing Authority of the County of Flagler,132
GA177, Housing Authority of the City of Barnesville,132
IL087," Housing Authority of the County of Shelby, IL.",132
ME011, Sanford Housing Authority,132
MI161, Marysville Housing Commission,132
NM002," Clovis Housing and Redevelopment Agency, Inc.",132
MA039, Winchendon Housing Authority,131
OH037, Coshocton Metropolitan Housing Authority,131
WI064, Beloit Housing Authority,131
FL055, ARCADIA HOUSING AUTHORITY,130
GA120, Housing Authority of the City of Lyons,130
IL095, Ogle County Housing Authority,130
KS043, Olathe Housing Authority,130
KS044, Parsons Housing Authority,130
LA056, Housing Authority of the Town of Berwick,130
MI082, South Haven Housing Commission,130
MN035," HRA of ALEXANDRIA, MINNESOTA",130
MO145, Housing Authority of the City of Kirksville,130
OK131, Housing Authority of the Kiamichi Electric Coop,130
OR015, Housing Authority of Jackson County,130
TX032, Housing Authority of the City of Texas City,130
TX320, Housing Authority of Pecos,130
WI118, Viroqua Housing Authority,130
CO003, Housing Authority of the City of Walsenburg,129
LA094, Housing Authority of St. Charles Parish,129
OR032, Northeast Oregon Housing Authority,129
SC012, HOUSING AUTHORITY OF ABBEVILLE,129
SC046, HOUSING AUTHORITY OF YORK,129
WI050, Rice Lake Housing Authority,129
KY038, Housing Authority of Martin,128
MI033, Royal Oak Township Housing Commission,128
MO072, Maryville Housing Authority,128
ND002, Housing Authority of the City of Williston,128
TN088, Oak Ridge Housing Authority,128
TX074, Luling Housing Authority,128
WI253, LaCrosse County Housing Authority,128
IL058, Housing Authority of Pope County,127
MI101, Ishpeming Housing Commission,127
OH062, MIAMI METROPOLITAN HOUSING AUTHORITY,127
AL085, Housing Authority of the Town of Calera,126
FL022, Housing Authority of New Smyrna Beach,126
FL074, Brooksville Housing Authority,126
IA117, Southern Iowa Regional Housing Authority,126
IL046, Housing Authority of Adams County,126
KY036, Housing Authority of Irvine,126
LA103, Housing Authority of City of Slidell,126
WV016, Housing Authority of the City of Weirton,126
AL107, HA ELBA,125
CA074, HSG AUTH OF THE CITY OF LIVERMORE,125
MI060, Cadillac Housing Commission,125
MN054," HRA of FAIRMONT, MINNESOTA",125
TN079, Dickson Housing Authority,125
TX058, Housing Authority of the City of Gladewater,125
TX177, Donna Housing Authority,125
TX201, Falfurrias Housing Authority,125
AR087, Housing Authority of the City of Crossett,124
CT024, Putnam Housing Authority,124
IL072, Housing Authority of Greene County,124
LA040, Housing Auth. of The Town of St. Martinville,124
MI049, Manistique Housing Commission,124
RI008, Town of Westerly Housing Authority,124
TN018, Rockwood Housing Authority,124
TN034, Jellico Housing Authority,124
TX230, Housing Authority of Corrigan,124
WV022, Housing Authority of the City of South Charleston,124
AL119," Housing Authority of the City of Sulligent, AL",123
LA032, Housing Authority of the Town of Church Point,123
MI051, Lincoln Park Housing Commission,123
MI074, Mount Pleasant Housing Commission,123
MI119, Iron County Housing Commission,123
TX190, Housing Authority of Stanton,123
WI004, Menomonie Housing Authority,123
AR041, Lonoke County Housing Authority,122
AR091, Housing Authority of the City of Ola,122
FL042, Union County Housing Authority,122
GA189, Housing Authority of the City of Metter,122
GA226, Housing Authority of the City of Cuthbert,122
LA086, Housing Authority of the City of DeRidder,122
MS094, The Housing Authority of the City of Hazlehurst,122
AR148, Housing Authority of the City of England,121
CA108, Housing Authority of the County of San Diego,121
IA127, North Iowa Regional Housing Authority,121
LA057, Pineville Housing Authority,121
MN053," HRA of ELY, MINNESOTA",121
NC055, Valdese Housing Authority,121
NJ053, Ocean City Housing Authority,121
OK124, Housing Authority of the City of Atoka,121
TN064, Loudon Housing Authority,121
UT016, Housing Authority of Carbon County,121
AL127, HA ANDALUSIA,120
CA062, CITY OF ALAMEDA HOUSING AUTHORITY,120
CT035, Housing Authority of the Town of Seymour,120
FL136, Hollywood Housing Authority,120
GA139, Housing Authority of the City of Glennville,120
GA239, Housing Authority of the City of Soperton,120
LA031, Housing Authority of the Town of Mamou,120
LA045, Housing Authority of the Town of Arcadia,120
LA096, Housing Authority of the Town of Haynesville,120
